,Cannonball
2345,180
2346,180
2347,180
2348,180
2349,180
2350,180
2351,180
2352,180
2353,181
2354,181
2355,181
2356,181
2357,181
2358,180
2359,180
2360,181
2361,181
2362,181
2363,180
2364,180
2365,180
2366,180
2367,180
2368,180
2369,180
2370,180
2371,180
2372,180
2373,180
2374,180
2375,180
2376,180
2377,180
2378,180
2379,180
2380,180
2381,180
2382,180
2383,180
2384,180
2385,180
2386,180
2387,180
2388,180
2389,180
2390,180
2391,180
2392,180
2393,181
2394,181
2395,180
2396,180
2397,180
2398,181
2399,181
2400,181
2401,181
2402,181
2403,180
2404,180
2405,180
2406,180
2407,180
2408,180
2409,180
2410,180
2411,180
2412,180
2413,180
2414,180
2415,180
2416,180
2417,180
2418,179
2419,179
2420,180
2421,180
2422,180
2423,179
2424,179
2425,180
2426,180
2427,180
2428,178
2429,178
2430,179
2431,179
2432,179
2433,178
2434,178
2435,177
2436,177
2437,177
2438,178
2439,178
2440,177
2441,177
2442,177
2443,177
2444,177
2445,178
2446,178
2447,178
2448,178
2449,178
2450,178
2451,178
2452,178
2453,179
2454,179
2455,179
2456,179
2457,179
2458,179
2459,179
2460,178
2461,178
2462,178
2463,178
2464,178
2465,178
2466,178
2467,178
2468,178
2469,178
2470,178
2471,178
2472,178
2473,178
2474,178
2475,178
2476,178
2477,178
2478,178
2479,178
2480,178
2481,178
2482,178
2483,178
2484,178
2485,179
2486,179
2487,179
2488,179
2489,179
2490,179
2491,179
2492,179
2493,180
2494,180
2495,180
2496,180
2497,180
2498,181
2499,181
2500,182
2501,182
2502,182
2503,181
2504,181
2505,182
2506,182
2507,182
2508,182
2509,182
2510,182
2511,182
2512,182
2513,182
2514,182
2515,182
2516,182
2517,182
2518,182
2519,182
2520,182
2521,182
2522,182
2523,183
2524,183
2525,183
2526,183
2527,183
2528,182
2529,182
2530,182
2531,182
2532,182
2533,182
2534,182
2535,182
2536,182
2537,182
2538,182
2539,182
2540,182
2541,182
2542,182
2543,182
2544,182
2545,182
2546,182
2547,182
2548,182
2549,182
2550,181
2551,181
2552,181
2553,181
2554,181
2555,181
2556,181
2557,181
2558,181
2559,181
2560,181
2561,181
2562,181
2563,181
2564,181
2565,181
2566,181
2567,181
2568,181
2569,181
2570,181
2571,181
2572,181
2573,181
2574,181
2575,181
2576,181
2577,181
2578,180
2579,180
2580,180
2581,180
2582,180
2583,180
2584,180
2585,180
2586,180
2587,180
2588,180
2589,180
2590,180
2591,180
2592,180
2593,180
2594,180
2595,179
2596,179
2597,179
2598,179
2599,179
2600,179
2601,179
2602,179
2603,178
2604,178
2605,178
2606,178
2607,178
2608,178
2609,178
2610,178
2611,178
2612,178
2613,178
2614,178
2615,178
2616,178
2617,178
2618,178
2619,178
2620,177
2621,177
2622,177
2623,177
2624,177
2625,177
2626,177
2627,177
2628,177
2629,177
2630,178
